question_code,article_code,question,option1,option2,option3,option4,answer,explanation,news_id
1,ART-001-short,글을 읽고 첫번째 문단의 핵심단어를 고르시오.,환경,미래,농업,사회,사회,,1
2,ART-001-short,"'재생 에너지 사용 확대, 자원 재활용, 지속 가능한 농업 등이 그 예이다' 해당 문장의 핵심 단어를 고르시오.",지속 가능,문제,재생,농업,재생,,1
3,ART-001-short,'개인 역시 일상생활에서 환경 보호를 실천해야 한다' 해당 문장의 핵심 단어를 고르시오.,사회,문제,혁신,환경,환경,,1
4,ART-001-short,(지속)을 적절히 서술한 문장을 고르시오.,한동안 멈추는 것,반복되는 상태,계속 유지되거나 진행되는 상태,비교적 짧은 시간 동안 이어지는 것,계속 유지되거나 진행되는 상태,,1
5,ART-001-short,(발전)을 적절히 서술한 문장을 고르시오.,어떤 일이 점차 나아지거나 향상됨,현재 상태에 머무는 것,어떤 일이 점차 감소하는 것,원래 상태로 되돌아가는 것,어떤 일이 점차 나아지거나 향상됨,,1
6,ART-001-short,(성장)의 의미와 반대되는 단어를 고르시오.,발전,성장,팽창,퇴보,퇴보,,1
7,ART-001-short,지속 가능한 사회란 무엇을 의미합니까?,"경제, 사회, 환경의 균형을 이루는 사회",오직 경제 성장을 우선시하는 사회,"경제, 사회, 환경의 불균형을 이루는 사회",개인의 이익을 최우선으로 하는 사회,"경제, 사회, 환경의 균형을 이루는 사회",,1
8,ART-001-short,국가가 지속 가능한 사회를 위해 해야 할 일은 무엇입니까?,다양한 규제를 완화하는 것,정책을 통해 지속 가능한 발전을 촉진하는 것,경제 성장을 억제하는 것,환경 오염을 무시하는 것,정책을 통해 지속 가능한 발전을 촉진하는 것,,1
9,ART-001-short,지속 가능한 농업의 효과는 무엇입니까?,오직 경제 성장을 촉진,자원 고갈을 가속화,환경 보호와 식량 안보를 동시에 해결,환경 오염을 유발,환경 보호와 식량 안보를 동시에 해결,,1
10,ART-001-short,기사내용을 바탕으로 나만의 요약문을 작성해보세요.,A,B,C,D,"현대 사회는 환경 오염, 자원 고갈, 빈부 격차 등의 문제를 겪고 있으며, 이를 해결하기 위해 지속 가능한 사회를 목표로 해야 한다. 이를 위해 국가, 기업, 개인의 노력이 필요하며, 재생 에너지 사용 확대와 ESG 경영 도입 등이 그 예이다. 지속 가능한 사회를 위한 노력은 우리의 미래를 위해 매우 중요하다.",,1
11,ART-002-middle,글을 읽고 첫번째 문단의 핵심단어를 고르시오.,환경 해결 노력,변화,사회적 연결,교육 문제 해결,변화,,2
12,ART-002-middle,"'하지만, 이러한 노력은 일시적인 해결책에 그쳐서는 안 된다' 해당 문장의 핵심 단어를 고르시오.",교육 문제 해결,사회적 연결,환경 노력,변화 필요,환경 노력,,2
13,ART-002-middle,"'직업의 형태가 다양해지고, 프리랜서나 원격 근무가 보편화되었다' 해당 문장의 핵심 단어를 고르시오.",교육 전반적 발전,직업 변화,변화,경제적 변화,직업 변화,,2
14,ART-002-middle,"'재생 에너지가 점점 더 중요해지고 있으며, 플라스틱 사용을 줄이기 위한 캠페인도 활발히 진행되고 있다' 해당 문장의 핵심 단어를 고르시오.",환경 변화,교육 전반적 발전,변화 필요,에너지,에너지,,2
15,ART-002-middle,(발달)을 적절히 서술한 문장을 고르시오.,과거로 되돌아가는 것,어떤 일이 점차 진전되거나 나아짐,정체 상태에 머무는 것,퇴보하는 것,어떤 일이 점차 진전되거나 나아짐,,2
16,ART-002-middle,(적응)의 의미와 반대되는 단어를 고르시오.,변화,준비,부적응,조정,부적응,,2
17,ART-002-middle,(교육)의 유의어가 아닌 단어를 고르시오.,교양,훈육,교육,무지,무지,,2
18,ART-002-middle,(부상)의 유의어가 아닌 단어를 고르시오.,등장,상승,부상,하락,하락,,2
